vectorAddCPU took 203 milliseconds to execute.
grid_size:1 block_size:1 vectorAddCUDASerial took 10285 milliseconds to execute.
cpu and gpu max diff:0
grid_size,block_size,elasped_time,max_diff
147491,455,145,0
147167,456,160,0
146845,457,157,0
146524,458,124,0
146205,459,117,0
145887,460,107,0
145571,461,116,0
145256,462,104,0
144942,463,152,0
144630,464,111,0
144319,465,161,0
144009,466,134,0
143701,467,160,0
143394,468,139,0
143088,469,161,0
142783,470,135,0
142480,471,122,0
142178,472,114,0
141878,473,119,0
141578,474,98,0
141280,475,160,0
140984,476,130,0
140688,477,112,0
140394,478,103,0
140101,479,112,0
139809,480,120,0
139518,481,128,0
139229,482,160,0
138940,483,147,0
138653,484,104,0
138367,485,112,0
138083,486,102,0
137799,487,107,0
137517,488,126,0
137235,489,116,0
136955,490,160,0
136676,491,138,0
136399,492,115,0
136122,493,145,0
135846,494,160,0
135572,495,147,0
135299,496,116,0
135026,497,108,0
134755,498,160,0
134485,499,123,0
134216,500,132,0
133948,501,111,0
133681,502,101,0
133416,503,160,0
133151,504,157,0
132887,505,143,0
132625,506,160,0
132363,507,121,0
132103,508,123,0
131843,509,139,0
131585,510,159,0
131327,511,141,0
131071,512,117,0
130815,513,162,0
130560,514,138,0
130307,515,123,0
130054,516,125,0
129803,517,156,0
129552,518,104,0
129303,519,116,0
129054,520,110,0
128806,521,101,0
128560,522,115,0
128314,523,105,0
128069,524,99,0
127825,525,111,0
127582,526,121,0
127340,527,103,0
127099,528,117,0
126858,529,127,0
126619,530,122,0
126381,531,162,0
126143,532,162,0
125906,533,152,0
125671,534,124,0
125436,535,101,0
125202,536,161,0
124968,537,132,0
124736,538,138,0
124505,539,162,0
124274,540,150,0
124044,541,162,0
123816,542,135,0
123588,543,120,0
123360,544,103,0
123134,545,119,0
122909,546,132,0
122684,547,162,0
122460,548,134,0
122237,549,117,0
122015,550,127,0
121793,551,118,0
121573,552,106,0
121353,553,117,0
121134,554,135,0
120915,555,130,0
120698,556,111,0
120481,557,122,0
120265,558,111,0
120050,559,135,0
119836,560,118,0
119622,561,162,0
119409,562,149,0
119197,563,161,0
118986,564,104,0
118775,565,112,0
118565,566,129,0
118356,567,131,0
118148,568,127,0
117940,569,162,0
117733,570,135,0
117527,571,113,0
117322,572,145,0
117117,573,133,0
116913,574,107,0
116710,575,162,0
116507,576,152,0
116305,577,124,0
116104,578,133,0
115903,579,130,0
115703,580,125,0
115504,581,124,0
115306,582,120,0
115108,583,133,0
114911,584,129,0
114715,585,147,0
114519,586,161,0
114324,587,145,0
114129,588,161,0
113935,589,160,0
113742,590,161,0
113550,591,149,0
113358,592,157,0
113167,593,161,0
112976,594,161,0
112787,595,161,0
112597,596,161,0
112409,597,161,0
112221,598,161,0
112033,599,161,0
111847,600,160,0
111661,601,161,0
111475,602,161,0
111290,603,161,0
111106,604,161,0
110922,605,161,0
110739,606,161,0
110557,607,161,0
110375,608,157,0
110194,609,135,0
110013,610,161,0
109833,611,161,0
109654,612,161,0
109475,613,161,0
109296,614,161,0
109119,615,161,0
108941,616,160,0
108765,617,161,0
108589,618,161,0
108413,619,161,0
108239,620,115,0
108064,621,161,0
107891,622,161,0
107717,623,161,0
107545,624,157,0
107373,625,161,0
107201,626,160,0
107030,627,161,0
106860,628,115,0
106690,629,161,0
106521,630,161,0
106352,631,161,0
106183,632,110,0
106016,633,161,0
105848,634,161,0
105682,635,104,0
105516,636,157,0
105350,637,139,0
105185,638,108,0
105020,639,161,0
104856,640,148,0
104693,641,112,0
104529,642,106,0
104367,643,160,0
104205,644,160,0
104043,645,149,0
103882,646,160,0
103722,647,161,0
103562,648,161,0
103402,649,135,0
103243,650,160,0
103084,651,160,0
102926,652,157,0
102769,653,150,0
102611,654,97,0
102455,655,160,0
102299,656,156,0
102143,657,161,0
101988,658,160,0
101833,659,160,0
101679,660,99,0
101525,661,160,0
101371,662,162,0
101219,663,160,0
101066,664,159,0
100914,665,160,0
100763,666,160,0
100611,667,157,0
100461,668,160,0
100311,669,160,0
100161,670,160,0
100012,671,101,0
99863,672,107,0
99714,673,166,0
99567,674,166,0
99419,675,165,0
99272,676,165,0
99125,677,166,0
98979,678,165,0
98833,679,129,0
98688,680,106,0
98543,681,166,0
98399,682,154,0
98255,683,161,0
98111,684,127,0
97968,685,129,0
97825,686,109,0
97682,687,120,0
97540,688,159,0
97399,689,165,0
97258,690,118,0
97117,691,119,0
96977,692,164,0
96837,693,165,0
96697,694,164,0
96558,695,165,0
96419,696,163,0
96281,697,165,0
96143,698,130,0
96005,699,117,0
95868,700,120,0
95732,701,129,0
95595,702,115,0
95459,703,164,0
95324,704,98,0
95188,705,164,0
95054,706,113,0
94919,707,164,0
94785,708,164,0
94651,709,164,0
94518,710,164,0
94385,711,164,0
94253,712,100,0
94120,713,165,0
93989,714,99,0
93857,715,98,0
93726,716,163,0
93595,717,102,0
93465,718,165,0
93335,719,141,0
93205,720,128,0
93076,721,98,0
92947,722,164,0
92819,723,164,0
92690,724,114,0
92562,725,163,0
92435,726,113,0
92308,727,115,0
92181,728,162,0
92055,729,113,0
91928,730,163,0
91803,731,120,0
91677,732,134,0
91552,733,163,0
91427,734,117,0
91303,735,163,0
91179,736,113,0
91055,737,122,0
90932,738,164,0
90809,739,103,0
90686,740,163,0
90564,741,106,0
90442,742,163,0
90320,743,105,0
90199,744,162,0
90078,745,116,0
89957,746,163,0
89836,747,119,0
89716,748,163,0
89596,749,109,0
89477,750,164,0
89358,751,100,0
89239,752,159,0
89120,753,126,0
89002,754,111,0
88884,755,139,0
88767,756,162,0
88650,757,163,0
88533,758,163,0
88416,759,118,0
88300,760,162,0
